idImpianto;Gestore;Bandiera;Tipo Impianto;Nome Impianto;Indirizzo;Comune;Provincia;Latitudine;Longitudine
12680;VP OIL S.R.L.;Q8;Altro;Q8;VIA PONTE ALTO 30 41011;CAMPOGALLIANO;MO;44.68830094;10.85781528
35230;PAGLIARA PAMELA;Api-Ip;Altro;STAZIONE IP;VIA GARIBALDI 45 41011;CAMPOGALLIANO;MO;44.69118661;10.83935536
25447;DISTRIBUTORE BEYFIN DI REGA VITO GIULIO;Pompe Bianche;Altro;BEYFIN DI REGA VITO GIULIO;VIA CAVEZZO,24/B - 41031;CAMPOSANTO;MO;44.79789797;11.11691952
21339;ZAVATTA ALBERTO;Agip Eni;Altro;Eni Camposanto 6255;Via per San Felice 18A, 41031;CAMPOSANTO;MO;44.79246726;11.13555282
34154;BRIXIA FINANZIARIA S.R.L.;Esso;Altro;Esso - Camposanto (MO);Via per San Felice 64 41031;CAMPOSANTO;MO;44.8031686;11.13494799
36737;ZACCHINI ANDREA;Agip Eni;Altro;ZACCHINI ANDREA;VIA PANARIA OVEST 18 41031;CAMPOSANTO;MO;44.78471811;11.12906054
22676;EMIL PETROL DI MAMMOLITI CARMELO & C. SAS;Agip Eni;Altro; ENI;VIA CARLO MARX 34 41012;CARPI;MO;44.77494678;10.88287802
8413;A.B. METANO S.R.L.;Pompe Bianche;Strada Statale;a b metano;Statale 413 Romana, Km. 25, dir. nord 41012;CARPI;MO;44.80525104;10.878537
39526;LE PIRAMIDI DI GIGLIO SALVATORE;Agip Eni;Altro;AGIP/ENI;viale dell'industria 3 41012;CARPI;MO;44.79148658;10.86419106
15432;BENETTI FABIO & SIENA ENRICO SNC;Total Erg;Altro;Benetti F. & Siena E. snc;VIA C. MARX 68 41012;CARPI;MO;44.77241218;10.88135187
11299;F.LLI GIBERTINI FU GINO S.P.A.;Esso;Altro;Carpi;VIA LAMA 31/33 41012;CARPI;MO;44.76887915;10.88450622
39988;CARBURANTI 3.0 S.R.L.;Enercoop;Altro;CARPI;TANGENZIALE 12 LUGLIO 1944 KM 1+130  41012;CARPI;MO;44.80645208;10.89156837
29608;IP SERVICES S.R.L.;Api-Ip;Altro;CARPI - BIONDO;VIA N. BIONDO 83/87 41012;CARPI;MO;44.78301042;10.88880385
23747;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;Altro;CARPI VIA GUASTALLA 4A;VIA GUASTALLA 4A 41012;CARPI;MO;44.79437012;10.86937174
6531;SERVIZI & GESTIONI ITALIA srl;Q8;Altro;CARPI VIA LENIN N.16;VIA LENIN 16 41012;CARPI;MO;44.77766367;10.87853523
11724;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;Altro;CARPI-VIA ALDO MORO 60;VIA ALDO MORO 60 41012;CARPI;MO;44.76997952;10.90267807
5275;FRANCIOSI VALTER  E C. SNC;Agip Eni;Altro;eni;VIA C. MARX 160 41012;CARPI;MO;44.7610645;10.87451787
14080;IMPIANTO AGIP DI SOLOMITA GIUSEPPE;Agip Eni;Altro;eni;VIA MANZONI - IMPIANTO 6210 114 41012;CARPI;MO;44.79128786;10.87939382
29467;ROME S.N.C. DI ALI A., IQBAL N. E ROME I.;Esso;Strada Statale;ESSO SS 413 CARPI;Statale 413 Romana, Km. 45, dir. MIRNADOLA 41012;CARPI;MO;44.80753084;10.88322937
9210;GRELLA ADAMO STAZIONE ESSO;Esso;Altro;GRELLA ADAMO STAZIONE ESSO;VIA CARLO MARX 104 41012;CARPI;MO;44.76939777;10.87957024
11148;MAX SIM CAR DI MASSIMILIANO ROVERI & C. SNC;Api-Ip;Altro;IP;VIALE DELL'INDUSTRIA 4/D 41012;CARPI;MO;44.78461582;10.86040082
15971;ROSSI ANDREA;Energy Rete;Altro;osteriola;via papa giovanni xxiii 107 41012;CARPI;MO;44.79254416;10.8752498
39847;ZOLLO VANNI;Q8;Altro;Q8;Carlo Marx 60 41012;CARPI;MO;44.7735878;10.88208874
8924;FERRARI GIANNI E C. SNC;Q8;Altro;q8 ferrari gianni carpi;VIA DELL'INDUSTRIA 8 41012;CARPI;MO;44.76908835;10.85011013
33558;RANJHA TOTAL SERVICE DI ABBAS GHULAM;Api-Ip;Altro;RANJHA TOTAL SERVICE DI ABBAS GHULAM;VIA ROMANA SP 413 ROMANA NORD 127 41012;CARPI;MO;44.84290721;10.89770257
15185;TUFO MARICA;Api-Ip;Altro;Stazione di servizio di Tufo Marica;Via Franklin Delano Roosevelt 40 41012;CARPI;MO;44.78972502;10.89214251
15559;EUROCAP PETROLI S.R.L.;Pompe Bianche;Altro;TRAVERSA SAN GIORGIO - SANTA CROCE DI CARPI;VIA TRAVERSA SAN GIORGIO 10/B 41012;CARPI;MO;44.76137696;10.86328134
15583;EUROCAP PETROLI S.R.L.;Pompe Bianche;Altro;Vasco de Gama ;Via Vasco de Gama 2/B 41012;CARPI;MO;44.77049061;10.87573931
5833;TotalErg SpA;Total Erg;Altro;CASTELFRANCO EMILIA;S.S. 9 KM. 134+171  41013;CASTELFRANCO EMILIA;MO;44.58277103;11.08697552
29111;GESTIONI EUROPA - SOCIETA' PER AZIONI;Total Erg;Altro;CASTELFRANCO EMILIA;VIA EMILIA OVEST 142/A 41013;CASTELFRANCO EMILIA;MO;44.61229919;11.01465184
30557;IP SERVICES S.R.L.;Api-Ip;Altro;CASTELFRANCO EMILIA - GAGGIO DI PIANO;VIA MAVORA 113/D 41012;CASTELFRANCO EMILIA;MO;44.63504199;11.01061032
11719;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;Altro;CASTELFRANCO EMILIA-VIA EMILIA OVEST 18;VIA EMILIA OVEST 18 41013;CASTELFRANCO EMILIA;MO;44.59807189;11.04430921
35332;BOMBARDA ALESSIO;Api-Ip;Altro;IP;VIA MUZZACORONA 111/B 41013;CASTELFRANCO EMILIA;MO;44.54719458;11.06403646
39986;BOMBARDA ALESSIO;Api-Ip;Altro;IP PIOPPA;Via Per Panzano 161 41013;CASTELFRANCO EMILIA;MO;44.61479796;11.04929918
4526;METANAUTO CASTELFRANCO EMILIA SOCIETA' A RESPONSABILITA' LIMITATA;Agip Eni;Altro;METANAUTO CASTELFRANCO EMILIA ;VIA EMILIA EST 83 41013;CASTELFRANCO EMILIA;MO;44.5855171;11.0803999
22361;METANAUTO CASTELFRANCO EMILIA SOCIETA' A RESPONSABILITA' LIMITATA;Pompe Bianche;Altro;METANAUTO CASTELFRANCO EMILIA;VIA EMILIA EST 83 41013;CASTELFRANCO EMILIA;MO;44.58576467;11.08057559
37507;F.I.V.E. S.A.S. DI FUSARI IVAN;Q8;Altro;Q8;CORSO MARTIRI 62 41013;CASTELFRANCO EMILIA;MO;44.59350348;11.05728017
38193;M.A.R. SNC DI MALAVASI MARCO E C.;Total Erg;Strada Statale;TOTALERG;9 Via Emilia, Km. 134-171, BOLOGNA 41013;CASTELFRANCO EMILIA;MO;44.58278992;11.08699948
9324;BERTELLI WALTER E ROLANDO  - CARBURANTI - S.P.A.;Oil Discount;Altro;BERTELLI-MONTALE;VIA VANDELLI 33 41051;CASTELNUOVO RANGONE;MO;44.57469049;10.90727695
30548;IP SERVICES S.R.L.;Api-Ip;Altro;CASTELNUOVO RANGONE - DELLA PACE;VIA DELLA PACE  41010;CASTELNUOVO RANGONE;MO;44.54286207;10.93126437
10591;BORGHI DEBORA & C. S.N.C.;Total Erg;Altro;TOTALERG;VIA SPILAMBERTO 9/A 41051;CASTELNUOVO RANGONE;MO;44.54263712;10.95517159
13024;DINO SERVICES S.N.C. DI POLETTI FABIO & DE CARLI CRISTIAN;Total Erg;Altro;TOTALERG CASTELNUOVO R.;VIA MONTANARA 18/A 41051;CASTELNUOVO RANGONE;MO;44.54961117;10.92912411
8835;SOLI PATRIZIA;Total Erg;Altro;Distributore Carburanti di Soli Patrizia;via statale 569 19/a 41014;CASTELVETRO DI MODENA;MO;44.53015075;10.95676482
